index,winner_ratio
0,0.7927594
1,0.7287029
2,0.6145443
3,0.38925812
4,0.81000066
5,0.66822493
6,0.75328916
7,0.13238615
8,0.84543276
9,0.91763777
10,0.35800475
11,0.12795582
12,0.30065364
13,0.41962272
14,0.5396008
15,0.8653345
16,0.2436626
17,0.7972258
18,0.5059776
19,0.8980617
20,0.66067237
21,0.005310592
22,0.29109642
23,0.7209196
24,0.45034045
25,0.58696616
26,0.53467077
27,0.9525958
28,0.59735245
29,0.38876125
30,0.8548399
31,0.314547
32,0.6612278
33,0.9543847
34,1.0
35,0.5770263
36,0.314547
37,0.8535325
38,0.89699376
39,0.559121
40,0.8791638
41,0.95529306
42,0.7180244
43,0.5684574
44,0.74484897
45,0.43184796
46,0.8147499
47,0.6956243
48,0.8029246
49,0.41357878
50,0.8811832
51,0.68492734
52,0.8439924
53,0.6348163
54,0.4141506
55,0.5384427
56,0.8237281
57,0.5197063
58,0.574167
59,0.46945733
60,0.5539705
61,0.8982519
62,0.43787825
63,0.7097474
64,0.08201189
65,0.86127126
66,0.18931134
67,0.6225113
68,0.8582324
69,0.12586181
70,0.6295896
71,0.86299825
72,0.44468963
73,0.5795325
74,0.3286337
75,0.39143828
76,0.7889829
77,0.64761937
78,0.20195961
79,0.99172634
80,0.87637377
81,0.8356662
82,0.4232093
83,0.5386018
84,0.8026469
85,0.16656965
86,0.44342488
87,0.4821803
88,0.43423566
89,0.51342595
90,0.6759679
91,0.6413704
92,0.41614133
93,0.6207721
94,0.58969927
95,0.41125205
96,0.097288355
97,0.5876737
98,0.59621763
99,0.314547
100,0.89405125
101,0.8944949
102,0.14137648
103,0.7229712
104,0.1402049
105,0.52533996
106,0.67266756
107,0.12586181
108,0.9091764
109,0.41831076
110,0.17477798
111,0.1978838
112,0.6428792
113,0.8333524
114,0.21289533
115,0.7236478
116,0.1547264
117,0.4926851
118,0.1864427
119,0.63177127
120,0.40426192
121,0.63960755
122,0.15836032
123,0.21533118
124,0.53871536
125,0.69353557
126,0.57808316
127,0.23770793
128,0.21863943
129,0.93684727
130,0.2172991
131,0.85181504
132,0.28660983
133,0.3816855
134,0.54007655
135,0.64886963
136,0.48279482
137,0.41985437
138,0.3255498
139,0.7743723
140,0.690337
141,0.48601577
142,0.5742545
143,0.5311942
144,0.61812216
145,0.32432687
146,0.8939368
147,0.5584595
148,0.7780533
149,0.6423846
150,0.53827053
151,0.7668683
152,0.884236
153,0.2522024
154,0.9521775
155,0.910896
156,0.2515781
157,0.37462112
158,0.33790183
159,0.6237088
160,0.5870722
161,0.8959783
162,0.6408301
163,0.52757215
164,0.48759723
165,0.78324825
166,0.8004892
167,0.7255496
168,0.5550724
169,0.64474225
170,0.1926099
171,0.43749624
172,0.9384192
173,0.6652098
174,0.8476578
175,0.5656644
176,0.305088
177,0.9958507
178,0.46808833
179,0.8624314
180,0.90647066
181,1.0
182,0.5185372
183,0.7758076
184,0.72989964
185,0.5448665
186,0.8789194
187,0.8188653
188,0.77101684
189,0.35088643
190,0.9975114
191,0.9585349
192,0.09752884
193,0.6817226
194,0.07913678
195,0.5152595
196,0.21551844
197,0.59886074
198,0.73479867
199,0.63471
200,0.95558316
201,0.6869034
202,0.52738947
203,0.1450757
204,0.26066324
205,0.75898534
206,0.8930899
207,0.5817768
208,0.9462123
209,0.5732709
210,0.48759723
211,0.9354685
212,0.94797045
213,0.06647244
214,0.48280403
215,0.26644102
216,0.82156354
217,0.17288448
218,0.45135698
219,0.7808921
220,0.53720325
221,0.26465943
222,0.9621573
223,0.98591304
224,0.8268372
225,0.40290937
226,0.50480205
227,0.78100127
228,0.4095234
229,0.12954037
230,0.90719926
231,0.89100236
232,0.3884033
233,0.3070361
234,0.47077286
235,0.98578393
236,0.3303446
237,0.6805695
238,0.26394445
239,0.34839168
240,0.0965973
241,0.5311942
242,0.7686419
243,0.7174135
244,0.4994826
245,0.5884681
246,0.7903109
247,0.8899787
248,0.5440231
249,0.47361994
250,0.584868
251,0.35800475
252,0.8340864
253,0.17220229
254,0.8238104
255,0.8356949
256,0.2340978
257,0.72639877
258,0.6983164
259,0.43773332
260,0.7673675
261,0.94610834
262,0.398166
263,0.9546852
264,0.15032245
265,0.36478707
266,0.21212694
267,0.81235415
268,0.5472467
269,0.926866
270,0.96041566
271,1.0
272,0.58696616
273,0.6370631
274,0.86755145
275,0.93588054
276,0.67969435
277,0.87983286
278,0.6065361
279,0.46671104
280,0.46228266
281,0.62640667
282,0.082902916
283,0.5075136
284,0.58969927
285,0.9923226
286,0.6960216
287,0.77952695
288,0.14676347
289,1.0
290,0.68350893
291,0.71354884
292,0.5304068
293,0.10208791
294,0.55513644
295,0.005310592
296,0.23099095
297,0.18158454
298,0.7253687
299,0.5446307
300,0.77844113
301,0.314547
302,0.31889275
303,0.20420031
304,0.25933087
305,0.5796236
306,0.6234526
307,0.7972258
308,0.9534745
309,0.4437822
310,0.38306618
311,0.34387213
312,0.62116206
313,0.89924216
314,0.28830135
315,0.93729603
316,0.25131944
317,0.9725511
318,0.6071154
319,0.15866672
320,0.62854934
321,0.85386574
322,0.8649471
323,0.8995956
324,0.7776091
325,0.87354493
326,0.37148115
327,0.59797597
328,0.942708
329,0.55167216
330,0.40902987
331,0.37989134
332,0.56673056
333,0.5167246
334,0.7408517
335,0.8434927
336,0.4773728
337,0.4821803
338,0.5204222
339,0.36446983
340,0.811579
341,0.6016726
342,0.35307965
343,0.8459562
344,0.5957694
345,0.5591225
346,0.86911047
347,0.42933515
348,0.956138
349,0.8404983
350,0.7448485
351,0.64785695
352,0.21920118
353,0.7498342
354,0.7333275
355,0.5524978
356,0.93582654
357,0.6983056
358,0.32523918
359,0.46240932
360,0.85199547
361,0.87607825
362,0.28375673
363,0.4644373
364,0.6709103
365,0.5287405
366,0.46236265
367,0.26452574
368,0.10789655
369,0.60890317
370,0.4674453
371,0.6958406
372,0.89794254
373,0.88256514
374,0.6816995
375,0.7995613
376,0.83990484
377,0.47595796
378,0.9641683
379,0.5551214
380,0.38405445
381,0.3492421
382,0.57281554
383,0.72948
384,0.42708272
385,0.42164388
386,0.55451024
387,0.14625956
388,0.29995745
389,0.18118112
390,0.46886247
391,0.13382047
392,0.74230134
393,0.8766053
394,0.574167
395,0.30680132
396,0.90865386
397,0.56411105
398,0.89924216
399,0.58526367
400,0.5941588
401,0.9066268
402,0.80258614
403,0.8858493
404,0.83102274
405,0.93308944
406,0.22892635
407,0.58160645
408,0.32432687
409,0.45958337
410,0.6130517
411,0.32432687
412,0.4424154
413,0.4432796
414,0.8456154
415,0.5445674
416,0.29995745
417,0.46077436
418,0.43073556
419,0.1547264
420,0.5430391
421,0.47898293
422,0.6389771
423,0.876873
424,0.6560973
425,0.9260413
426,0.16528042
427,0.024313057
428,0.3530457
429,0.86168456
430,0.8455083
431,0.69839025
432,0.23629592
433,0.6734959
434,0.17631365
435,0.84661674
436,0.8062852
437,0.26578572
438,0.82284546
439,0.98348016
440,0.41357878
441,0.66883904
442,0.85608584
443,0.6767592
444,0.104630224
445,0.5795325
446,0.8211561
447,0.5790222
448,0.8588021
449,0.5004629
450,0.18581964
451,0.0999263
452,0.19818513
453,0.8064781
454,0.6704212
455,0.5304068
456,0.44459307
457,0.3988886
458,0.5795325
459,0.6807398
460,0.79843456
461,0.5531112
462,0.91181415
463,0.47839162
464,0.53542536
465,0.7482
466,0.80534524
467,0.64848673
468,0.8902304
469,0.27359417
470,0.7296051
471,0.31275424
472,0.6970937
473,0.35412085
474,0.39557743
475,0.6435034
476,0.42367795
477,0.8022833
478,0.5887059
479,0.30834433
480,0.5337497
481,0.9780588
482,0.8383088
483,0.5245572
484,0.9342537
485,0.763836
486,0.6005413
487,0.8949512
488,0.90113014
489,0.7936197
490,0.9032449
491,0.5886946
492,0.8768611
493,0.5304068
494,0.821994
495,0.38065067
496,0.20214535
497,0.58794093
498,0.6226342
499,0.50266457
500,0.9639496
501,0.40286615
502,0.2652304
503,0.82432914
504,0.6507195
505,0.76890296
506,0.0
507,0.18054122
508,0.7331386
509,0.7900766
510,0.6843457
511,0.4547401
512,0.73996246
513,0.26355124
514,0.40757537
515,0.465533
516,0.6528139
517,0.6499347
518,0.48739356
519,0.33934805
520,0.34984294
521,0.5461743
522,0.89628476
523,0.8820621
524,0.2914809
525,0.9802387
526,0.51841867
527,0.45473015
528,0.7718337
529,0.63392705
530,0.81514055
531,0.62438905
532,0.60226315
533,0.7260531
534,1.0
535,0.47489524
536,0.13699391
537,0.61797464
538,0.40290853
539,0.9705547
540,0.5339732
541,0.07280043
542,0.29758906
543,0.925815
544,0.314547
545,0.7889829
546,0.86327285
547,0.17495908
548,0.38487923
549,0.4404362
550,0.015969992
551,0.73094785
552,0.44007778
553,0.771736
554,0.82900465
555,0.46409118
556,0.48280403
557,0.66708726
558,0.27180153
559,0.22357681
560,0.005310592
561,0.59693843
562,0.6106715
563,0.7577081
564,0.47979206
565,0.5551341
566,0.81000066
567,0.39026466
568,0.52145714
569,0.68710655
570,0.3161188
571,0.5250885
572,0.5982671
573,0.4533888
574,0.82903355
575,0.31177518
576,0.6118901
577,0.71742916
578,0.8047065
579,0.27377653
580,0.11887861
581,0.8166832
582,0.5252486
583,0.8234662
584,0.93815786
585,0.76371574
586,0.005310592
587,0.25356942
588,0.31275424
589,0.845313
590,0.16504434
591,0.88093925
592,0.20599169
593,0.6783639
594,0.61267614
595,0.8949512
596,0.68645906
597,0.75890887
598,0.6502428
599,0.5097533
600,0.3836347
601,0.31286848
602,0.6930344
603,0.1547264
604,0.62348735
605,0.38011563
606,0.36198306
607,1.0
608,0.7365777
609,0.6407141
610,0.5599677
611,0.6886629
612,0.8039635
613,0.17000945
614,0.7759744
615,0.3911099
616,0.7972258
617,0.46420103
618,0.5213502
619,0.6252079
620,0.31682152
621,0.888714
622,0.574167
623,0.7723821
624,0.53693557
625,0.794171
626,0.5897469
627,0.7205457
628,0.32996655
629,0.7573898
630,0.8781176
631,0.59023947
632,0.64390206
633,0.75061584
634,0.7514207
635,0.66978
636,0.71735114
637,0.9984869
638,0.5551214
639,0.504022
640,0.60652983
641,0.26482812
642,0.81857985
643,0.23645484
644,0.9213529
645,0.61396843
646,0.8010289
647,0.5795325
648,0.68195975
649,0.78264177
650,0.9476666
651,0.8681112
652,0.45814532
653,0.8020445
654,0.5600542
655,0.56033725
656,0.3273984
657,0.3816545
658,0.80934507
659,0.9480678
660,0.5505777
661,0.0
662,0.7970687
663,0.71264356
664,0.91003764
665,0.23927698
666,0.8865408
667,0.8157042
668,0.3517775
669,0.17949447
670,0.5299692
671,0.39135808
672,0.6312921
673,0.60880303
674,0.42606816
675,0.5675124
676,0.32084718
677,0.5551214
678,0.2654003
679,0.6969549
680,0.89699376
681,0.68492734
682,0.5497534
683,0.036327086
684,0.77728313
685,0.26727912
686,0.23577131
687,0.54311275
688,0.847562
689,0.572649
690,0.03720697
691,0.16205066
692,0.19827013
693,0.18313581
694,0.08742938
695,0.794171
696,0.61738497
697,0.0
698,0.89888704
699,0.8183302
700,0.73756963
701,0.31027007
702,0.7472959
703,0.53988266
704,0.7972258
705,0.7999825
706,0.38371885
707,0.63870853
708,0.84855074
709,0.77679336
710,0.89226985
711,0.62372667
712,0.9083774
713,0.5419372
714,0.54764116
715,0.4910914
716,0.19847798
717,0.15540843
718,0.66810495
719,0.85069215
720,0.91737205
721,0.72246253
722,0.22383016
723,0.05215551
724,0.46487847
725,0.6348668
726,0.96619356
727,0.92604864
728,0.6171866
729,0.76131976
730,0.8244047
731,0.33324882
732,0.14625956
733,0.37160233
734,0.7972258
735,0.8485565
736,0.80056334
737,0.47639275
738,0.24228919
739,0.77836555
740,0.1390392
741,0.65987015
742,0.26012164
743,0.56615555
744,0.4979628
745,0.8129516
746,0.36726356
747,0.75649136
748,0.3760481
749,0.95502234
750,0.4675863
751,0.88438296
752,0.41626734
753,0.39120626
754,0.7735502
755,0.12746394
756,0.506889
757,0.9968401
758,0.9694513
759,0.72130173
760,0.7312581
761,0.60616165
762,0.23016743
763,0.7604462
764,0.48759723
765,0.48397186
766,0.35077986
767,0.7922792
768,0.20376453
769,0.5795325
770,0.22505248
771,0.5615839
772,0.68197674
773,0.50525683
774,0.6216317
775,0.8064781
776,0.58969927
777,0.50453365
778,0.7562199
779,0.98137754
780,0.88949245
781,0.7924787
782,0.27503726
783,0.8775334
784,0.7796193
785,0.8751658
786,0.7972258
787,0.7889829
788,0.53939307
789,0.42924064
790,0.81363803
791,0.662259
792,0.17926832
793,0.23099095
794,0.7964181
795,0.93360925
796,0.88117176
797,0.6373286
798,0.910896
799,0.7962605
800,0.74227417
801,0.45548537
802,0.61014193
803,0.92229617
804,0.46870452
805,0.2172991
806,0.43977648
807,0.14701548
808,0.74223673
809,0.78759724
810,0.62059003
811,0.20368123
812,0.86971545
