node,type,degree,weighted_degree,pagerank,community
ZZ,state,1,5.49038296229,0.007225358409191512,0
WA,state,1,6.13242142743,0.00780042408631518,0
WV,state,1,6.13122648948,0.0077993537956104215,0
DE,state,1,6.26235009441,0.007916799538739729,0
DC,state,1,5.60785877335,0.007330579997150638,0
WI,state,1,6.50555981974,0.008134639392539549,0
NO,state,1,6.50555981974,0.008134639392539549,0
HI,state,1,9.03394442403,0.010399281284638708,0
FL,state,1,6.50555981974,0.008134639392539549,0
WY,state,1,4.05560373391,0.005940244925669298,0
NH,state,1,5.42552254078,0.007167263755616447,0
NJ,state,1,7.63658326075,0.00914768268552252,0
NM,state,1,7.92417004002,0.009405270501412422,0
TX,state,1,6.52095980363,0.008148432961997205,0
LA,state,1,7.92417365891,0.009405273742806109,0
NB,state,1,6.87667732341,0.008467044614544273,0
NC,state,1,6.62552498521,0.008242090663542782,0
ND,state,1,5.60785877335,0.007330579997150638,0
NE,state,1,7.1987070003,0.00875548249521593,0
TN,state,1,5.53417969027,0.0072645865807094406,0
NY,state,1,8.00864164664,0.009480930643749937,0
PA,state,1,10.7172258225,0.011906974997335111,0
CA,state,1,6.16304108237,0.007827849721315921,0
NV,state,1,6.11869173493,0.0077881265755850556,0
VA,state,1,5.69150744378,0.007405503046022536,0
CH,state,1,8.22794455922,0.009677357469813252,0
CO,state,1,8.37436615644,0.009808505429822919,0
ON,state,1,7.79296392901,0.00928775085863794,0
VI,state,1,5.33484214123,0.007086042476518013,0
AK,state,1,7.03275664414,0.008606842874514612,0
AL,state,1,10.9538582016,0.012118923605876585,0
BI,state,1,5.07517381523,0.0068534608636917505,0
VQ,state,1,5.63767828405,0.0073572889531451245,0
XX,state,1,3.21887582487,0.005190798392936347,0
AR,state,1,4.60517018599,0.006432484598289106,0
VT,state,1,8.190917196,0.00964419253210571,0
IL,state,1,8.21267145775,0.00966367754732339,0
GA,state,1,5.81239768803,0.007513782898308509,0
IN,state,1,6.00807581291,0.007689049302881122,0
IA,state,1,8.82519834394,0.010212310078999663,0
OK,state,1,4.79768956776,0.006604921756883419,0
AZ,state,1,7.81793537892,0.009310117468320934,0
ID,state,1,5.53417969027,0.0072645865807094406,0
CT,state,1,4.57409223042,0.006404648469250351,0
ME,state,1,5.71141990179,0.007423338381084931,0
MD,state,1,7.6632761391,0.009171591156737517,0
MA,state,1,7.00110900072,0.008578496483323358,0
MC,state,1,6.90775527898,0.008494880743583028,0
OH,state,1,7.91045120415,0.009392982714827532,0
UT,state,1,7.49894171367,0.009024398904612834,0
MO,state,1,5.40856094065,0.007152071466379178,0
MN,state,1,5.71650124706,0.007427889677334376,0
MI,state,1,5.46991495998,0.00720702548017424,0
RI,state,1,6.16304108237,0.007827849721315921,0
KS,state,1,5.42552254078,0.007167263755616447,0
MT,state,1,6.0112426643,0.007691885811342564,0
UN,state,1,6.38465462434,0.008026346148698918,0
SN,state,1,6.50555981974,0.008134639392539549,0
MS,state,1,6.82437367004,0.008420196898286802,0
PR,state,1,6.21460809842,0.007874037640906648,0
SC,state,1,6.82555775135,0.008421257464837368,0
KY,state,1,6.2273071234,0.007885411995864245,0
OR,state,1,5.22154430774,0.0069845630498634684,0
SD,state,1,7.5049805927,0.009029807851657305,0
0.0,candidate,64,420.8270419400302,0.4753782699055247,0
